pmid,doctor
12000870,['Patrick Hwu']
12001121,['Scott H. Okuno']
12002342,['Neeraj Agarwal']
12002762,['Michelle A. Elliott']
12003185,"['Vernon K. Sondak', 'Gary C. Doolittle']"
12003188,['David G. Pfister']
12003192,['Patricia LoRusso']
12003198,"['John Marshall', 'Elisabeth I. Heath']"
12004173,['Mark Bilsky']
12004205,"['Jose G. Guillem', 'Philip Paty']"
12006508,['Paul B. Chapman']
12006510,"['David B. Solit', 'Howard I. Scher', 'Neal Rosen']"
12006520,"['James Stevenson', 'Thomas F. DeLaney', 'Stephen M. Hahn']"
12006521,"['Gabriel N. Hortobagyi', 'Vicente Valero', 'Kelly Hunt', 'Nuhad K. Ibrahim']"
12006523,['Thomas E. Witzig']
12006531,['Patricia Troncoso']
12006532,['Vered Stearns']
12006539,['Sara I. Pai']
12006541,['Nai-Kong V. Cheung']
12006546,['Colin P.N. Dinney']
12006754,['Thomas E. Merchant']
12006924,['George J. Chang']
12007194,['Bonnie S. Glisson']
12007222,['Jeffrey N. Weitzel']
12007958,['Ralph R. Weichselbaum']
12008081,"['Farhad Ravandi', 'Hagop M. Kantarjian']"
12010785,['B. Douglas Smith']
12010810,"['Paul G. Richardson', 'Steven P. Treon']"
12010830,['Hagop M. Kantarjian']
12010861,['Powel Brown']
12011120,"['Richard M. Stone', 'Richard A. Larson']"
12011121,['Richard A. Larson']
12011122,"['Thomas E. Witzig', 'Brad L. Pohlman']"
12011129,['Daniel M. Green']
12011133,"['James L. Abbruzzese', 'Renato Lenzi']"
12011222,['Afshin Dowlati']
12011226,['Nita Ahuja']
12011912,['Kimberly J. Van Zee']
12012293,['Peter T. Scardino']
12012301,['Mario A. Eisenberger']
12012302,"['Oren Smaletz', 'Howard I. Scher']"
12012316,['Martin S. Tallman']
12013286,['Jaffer A. Ajani']
12014418,['Miguel A. Rodriguez-Bigas']
12014635,['Claire F. Verschraegen']
12014810,['Sergio Giralt']
12015755,"['Gabriel N. Hortobagyi', 'Vicente Valero']"
12015757,['Jame Abraham']
12015769,"['Shreyaskumar Patel', 'Kelly Hunt', 'Barry W. Feig']"
12018454,['Heinz-Josef Lenz']
12018929,['Kenneth J. Pienta']
12019370,['Valerie W. Rusch']
12020170,"['Joseph A. Sparano', 'Antonio C. Wolff']"
12020395,['George D. Demetri']
12021307,['Hassane M. Zarour']
12023792,['Hedy L. Kindler']
12023956,['Robert Z. Orlowski']
12023992,"['Kenneth Offit', 'Larry Norton', 'Mark E. Robson']"
12023993,['Claudine Isaacs']
12026238,['Mark M. Souweidane']
12029434,['Susan B. LeGrand']
12029548,['John Marshall']
12031359,['Paul Russo']
12031374,['Peter T. Scardino']
12031380,"['Steven M. Larson', 'Howard I. Scher', 'Michael J. Morris']"
12031864,"['Howard I. Scher', 'Michael J. Morris']"
12035031,['Richard D. Schulick']
12035835,['David Schiff']
12036407,['Banu Arun']
12036413,['John Marshall']
12036427,['Roy S. Herbst']
12036687,['Paolo Anderlini']
12036851,['Leslie L. Robison']
12036859,['Thomas E. Witzig']
12036860,['Hagop M. Kantarjian']
12036884,"['Paul G. Richardson', 'Steven P. Treon']"
12036895,"['Jerome Ritz', 'Edwin Alyea']"
12036900,['Jerome Ritz']
12036906,['Ranjit Bindra']
12036916,['Stanton L. Gerson']
12036925,['Neal Rosen']
12036931,['Stephen J. Forman']
12038950,['Morie A. Gertz']
12039921,['Paul B. Chapman']
12039922,['Paul Monk']
12039924,['Steven N. Hochwald']
12039933,['Kevin S. Hughes']
12040279,"['Sharon H. Giordano', 'Gabriel N. Hortobagyi', 'Vicente Valero']"
12040281,['Roderich E. Schwarz']
12040286,['Bruce E. Johnson']
12040287,['Hidayatullah G. Munshi']
12040289,['F. Stephen Hodi']
12040295,['Steven R Alberts']
12041516,['Evanthia Galanis']
12042700,['James D. Griffin']
12042703,['Marina Konopleva']
12042704,['Charles L. Sawyers']
12042710,['Jeffrey E Rubnitz']
12042984,['Fredrick B. Hagemeister']
12044015,['Samuel R. Denmeade']
12044239,['Shreyaskumar Patel']
12044242,['Roy S. Herbst']
12044243,"['Jack A. Roth', 'Stephen Swisher']"
12045065,"['Gabriel N. Hortobagyi', 'Vicente Valero']"
12047134,['Martin S. Tallman']
12048272,"['Carol J. Fabian', 'David Euhus', 'Kevin S. Hughes']"
12048274,['Edith A. Perez']
12048275,['David Euhus']
12048667,['Eduardo Bruera']
12049533,['Steven I. Sherman']
12049536,['Nora T. Jaskowiak']
12050101,['Gabriel N. Hortobagyi']
12051873,['Jack A. Roth']
12051874,['Linda R. Duska']
12052255,['Amir A. Jazaeri']
12052756,"['Brian J. Czerniecki', 'Isabelle Bedrosian']"
12052763,"['Ralph R. Weichselbaum', 'Nora T. Jaskowiak', 'Mitchell C. Posner']"
12053861,['Roy S. Herbst']
12054425,['Robert Z. Orlowski']
12055390,['John D. Mitchell']
12056962,['F. Stephen Hodi']
12057038,['Debu Tripathy']
12057044,['Gabriel N. Hortobagyi']
12057046,['Debu Tripathy']
12057073,"['Mario M. Leitao', 'Dennis Chi']"
12057079,['Harold J. Burstein']
12057081,['Vered Stearns']
12057089,['Martin Edelman']
12057863,['Roy S. Herbst']
12060117,"['Jerome Ritz', 'Arnold Freedman']"
12060130,"['B. Douglas Smith', 'Steven Gore']"
12060497,['Kelly Hunt']
12060604,['Steven T. Rosen']
12060605,['Charis Eng']
12060629,['Colin P.N. Dinney']
12060634,"['Hagop M. Kantarjian', 'Guillermo Garcia-Manero']"
12061815,['Steven Grant']
12063831,['David P. Ryan']
12064365,['Anthony D. Elias']
12065559,"['Carol Aghajanian', 'Paul Sabbatini', 'David R. Spriggs']"
12065561,['Nikhil I. Khushalani']
12065566,['Grace K. Dy']
12065795,['David S. Ettinger']
12065796,['Scott H. Okuno']
12065797,['Antonio C. Wolff']
12065798,['Edith A. Perez']
12067983,"['Afshin Dowlati', 'Beth Overmoyer']"
12067995,"['Amod Sarnaik', 'Andrew M. Lowy']"
12068383,['Michael B. Atkins']
12070006,"['Jeffrey E Rubnitz', 'Ching-Hon Pui', 'John T. Sandlund', 'Frederick G. Behm']"
12070008,"['Jeffrey E Rubnitz', 'Ching-Hon Pui', 'John T. Sandlund', 'Frederick G. Behm']"
12070010,['Leslie L. Robison']
12070033,['James Downing']
12072546,['Felipe Samaniego']
12072547,['Heinz-Josef Lenz']
12072633,"['Jose G. Guillem', 'Philip Paty']"
12074326,"['Mitchell Machtay', 'Stephen M. Hahn']"
12074327,['Humberto A. Rossi']
12074764,['Thomas E. Witzig']
12075703,['Mitchell Machtay']
12075915,['Marc S. Ernstoff']
12076905,['Kenneth Tanabe']
12077755,['Michael P. La Quaglia']
12079306,['Joseph Buscema']
12082544,['Kenneth J. Pienta']
12082548,['Douglas Yee']
12083634,['Edith A. Perez']
12084194,['Tomasz M. Beer']
12084350,['Pierre Giglio']
12084714,['Isaac Yi Kim']
12085234,['Jack A. Roth']
12086670,['Sridhar Ramaswamy']
12086872,"['Ching-Hon Pui', 'James Downing']"
12086882,['Charles L. Sawyers']
12086889,['James Downing']
12086890,"['Ching-Hon Pui', 'James Downing']"
12087137,['Michael S. Simon']
12088116,['Neal Rosen']
12089225,"['Ching-Hon Pui', 'Melissa M. Hudson']"
12089232,['Grace K. Dy']
12091329,"['Sergio Giralt', 'Philip L. McCarthy']"
12091333,['Charles L. Sawyers']
12091357,['Steven Grant']
12091368,['David T. Scadden']
12091817,['Valerie W. Rusch']
12093945,['Leslie L. Robison']
12094374,['Marc Ladanyi']
12094541,"['James L. Abbruzzese', 'Renato Lenzi']"
12095553,"['George H. Perkins', 'Gabriel N. Hortobagyi', 'Vicente Valero', 'Kelly Hunt']"
12095911,['Charis Eng']
12095968,"['Matthew T. Ballo', 'Shreyaskumar Patel']"
12095969,"['George H. Perkins', 'Gabriel N. Hortobagyi', 'Kelly Hunt', 'Barry W. Feig']"
12095976,"['Paul F. Mansfield', 'Jeffrey E. Gershenwald']"
12096084,['Amir A. Jazaeri']
12096085,['Ernest Hawk']
12097257,['Fergus Couch']
12097260,['Richard E. Champlin']
12097269,['Isaac Yi Kim']
12097284,['Yu Chen']
12097302,['Robert Z. Orlowski']
12099190,['Dineo Khabele']
12099577,['Scott Kopetz']
12100142,['Srdan Verstovsek']
12100691,['Thomas E. Witzig']
12101412,['Charles L. Sawyers']
12101424,['Michelle M. Le Beau']
12101426,['Lewis R. Roberts']
12102578,['Chau T. Dang']
12103372,['Stephen Swisher']
12107213,['Leslie L. Robison']
12108893,['Christopher Logothetis']
12108895,['Gabriel N. Hortobagyi']
12108896,['Vicente Valero']
12108897,['Frank V. Fossella']
12108899,['Christopher Logothetis']
12108901,['Bonnie S. Glisson']
12108902,['Jaffer A. Ajani']
12108918,['Anthony D. Elias']
12109342,['Ashish M. Kamat']
12109356,['William K. Oh']
12109359,['Steven K. Clinton']
12109799,['David H. Ilson']
12109800,"['Paul F. Mansfield', 'Jaffer A. Ajani', 'Barry W. Feig']"
12109804,['Claire F. Verschraegen']
12111105,"['Gabriel N. Hortobagyi', 'Vicente Valero']"
12111110,['Richard A. Larson']
12111119,['Drew M. Pardoll']
12111120,['Michael J. Mastrangelo']
12111649,['Yu Chen']
12113048,['Paul E. Goss']
12113051,['Apostolia Maria Tsimberidou']
12114217,"['William H. Matsui', 'B. Douglas Smith']"
12114403,"['Jerome Ritz', 'Edwin Alyea']"
12114406,['David Euhus']
12114412,['Steven Grant']
12114413,"['Hagop M. Kantarjian', 'Guillermo Garcia-Manero']"
12114417,"['Hagop M. Kantarjian', 'Guillermo Garcia-Manero']"
12114418,"['Hagop M. Kantarjian', 'Guillermo Garcia-Manero']"
12114422,"['Rafael Fonseca', 'Morie A. Gertz', 'Thomas E. Witzig', 'Martha Lacy', 'S. Vincent Rajkumar', 'Angela Dispenzieri']"
12114423,"['Hagop M. Kantarjian', 'Guillermo Garcia-Manero']"
12114448,['Ching-Hon Pui']
12115322,['Everett E. Vokes']
12115325,"['Valerie W. Rusch', 'Mark G. Kris']"
12115328,"['Parkash S. Gill', 'David T. Scadden']"
12115341,['Gabriel N. Hortobagyi']
12115351,"['Charles S. Fuchs', 'David P. Ryan']"
12115355,"['Jan C. Buckner', 'Evanthia Galanis']"
12115358,['Saroj Vadhan-Raj']
12115395,"['Nai-Kong V. Cheung', 'Brian H. Kushner']"
12115478,['Lisa Yee']
12116072,['Melissa M. Hudson']
12117190,['Kimberly J. Van Zee']
12118020,"['Patricia Troncoso', 'Christopher Logothetis', 'Shi-Ming Tu']"
12118391,['Tracey E. Schefter']
12118764,['Elisabeth I. Heath']
12119278,['Charis Eng']
12122002,['Christopher Logothetis']
12123535,['Carol J. Fabian']
12123536,['Raquel Nunes']
12124170,['Charles L. Sawyers']
