pmid,HGNC
12393429,PGR
12393484,CTLA4
12393523,CTLA4
12393523,RUNX1T1
12393600,BCR
12393600,ABL1
12393982,MST1R
12394172,BCR
12394172,HLA-C
12399055,APC
12400010,IGF1
12400601,NR4A3
12400610,AKT1
12404273,ESR1
12404279,CYP19A1
12404279,NR4A3
12404286,VEGFA
12409262,FANCA
12409262,RB1
12409649,CYP19A1
12410573,BCR
12410583,CD79A
12411300,VEGFA
12411300,BCR
12411300,NR4A3
12412821,MAX
12414507,IGF1
12414507,EGFR
12414617,BCR
12414617,ABL1
12414626,AR
12414661,KIT
12414661,AKT1
12415690,EGFR
12415690,KIT
12415690,MET
12417508,NR4A3
12417515,FH
12417757,CTLA4
12417757,MYC
12417757,FLT1
12417757,IRF8
12418058,ESR1
12418463,DNMT1
12421930,CTLA4
12421930,APC
12422310,EGFR
12422311,EGFR
12429618,BRCA1/2
12429618,APC
12429628,ERBB2
12429628,CTLA4
12429628,AR
12429640,EGFR
12429924,YY1
12429947,CTLA4
12430930,VEGFA
12431963,REST
12431973,BRCA1/2
12432043,ERBB2
12432234,CTLA4
12433678,NR4A3
12433678,CTLA4
12433678,AKT1
12433728,RTEL1
12434950,CTLA4
12435294,FANCC
12435856,PTEN
12435856,AKT1
12438218,ESR1
12438218,EGFR
12438263,ETV6
12438263,MAX
12438265,ERBB2
12438271,ERBB2
12439605,CTLA4
12439605,DNMT1
12440223,REST
12443879,RTEL1
12444079,IGF1
12444079,INSR
12444803,HLA-C
12445286,CTLA4
12446458,CTLA4
12447845,BCR
12447845,ABL1
12447847,CTLA4
12448653,PGR
12448661,REST
12449727,ACTG1
12450787,ARID1A
12450787,NTRK1
12450796,CTLA4
12450796,ACTG1
12452452,CTLA4
12452452,DNMT1
12453881,PAX5
12455028,APC
12455034,CTLA4
12455034,APC
12459622,NR4A3
12459622,CTLA4
12460918,BRAF
12460918,AKT1
12460919,BRAF
12463057,ACTG1
12463482,CTLA4
12464649,BRCA1/2
12465754,KMT2A
12465754,MAP3K1
12465754,AKT1
12466143,VEGFA
12467057,MET
12467070,PGR
12467221,SDHA
12467221,CTLA4
12467221,FH
12468336,BRD4
12468353,MET
12468399,CTLA4
12468399,RTEL1
12468436,RARA
12469764,ESR1
12473577,CTLA4
12473589,BRCA1/2
12473594,ATM
12473602,EGFR
12474140,RET
12474140,NTRK1
12478658,MST1
12479018,VEGFA
12479219,AR
12479269,AR
12479366,ERBB2
12479366,AKT1
12479700,ACTG1
12479700,FAT1
12479703,ACTG1
12480189,EGFR
12481439,HLA-C
12483413,MAX
12489273,MSH2
12490080,RET
12490080,NTRK1
12491499,BRCA1/2
12493153,FANCC
12496047,BRCA1/2
12496047,DNMT1
12496050,IGF1
12496050,FAT1
12496746,MAX
12497211,CTLA4
12501170,ARID1A
12504632,SRC
12504632,ERBB2
12506163,DDIT3
12509854,VEGFA
12509854,PTEN
12509854,AKT1
12512386,KIT
12513914,CTLA4
12514563,BRCA1/2
12515727,RARA
12515727,FLT1
12516957,VEGFA
12517547,MET
12517547,BRD4
12517547,DNMT1
12517803,VEGFA
12517803,PTEN
12517803,AKT1
12517803,EGFR
12517803,ERBB2
12522257,KIT
12522257,PDGFRA
12525193,NR4A3
12525678,CTLA4
12527050,MET
