pmid,tsne1,tsne2
11870166,-26.294598,-22.25374
11870168,53.38448,0.60776377
11870175,42.48182,-32.87035
11870179,-0.8733961,52.53738
11872277,13.842622,-4.0802584
11872281,15.226637,-2.6002517
11872286,50.45537,-2.6983657
11872294,19.939615,-4.62648
11873541,-0.6215589,-55.750103
11875173,22.790289,-12.284111
11875759,23.082115,40.591576
11877262,-47.74367,12.344117
11877266,-6.4065394,-8.697681
11877293,-46.561264,29.48368
11877311,-10.851748,0.21442084
11877765,-22.737011,-32.08071
11879565,-29.824558,40.348763
11880182,-49.05653,30.233528
11881785,25.480692,24.011763
11881908,52.390995,-24.885931
11881914,4.6517925,26.61229
11882230,-0.14666378,-55.45604
11882761,32.961063,-5.312666
11883699,-33.627605,-0.23513895
11884322,35.002174,-31.586012
11886337,26.59789,19.989738
11888451,34.64243,13.961322
11888875,26.898647,20.213556
11888876,38.26395,2.4379418
11890716,-24.52744,8.115897
11891941,17.104958,7.455542
11894011,-27.54267,33.299866
11894012,-45.514503,0.61753565
11894015,-47.952362,4.630083
11894016,-30.74806,19.16206
11894018,7.6695004,-32.87082
11894019,-18.778572,-3.10913
11895757,-10.407484,5.0563064
11895870,47.18707,32.654068
11895877,-0.27389568,9.500481
11895878,-2.2134588,-10.5713005
11895894,-47.013695,-20.20002
11895896,-54.054546,-28.392658
11895897,-46.708923,-24.556639
11895899,-52.062157,-17.51772
11895908,-8.545345,37.79135
11895923,-52.615147,5.9378586
11896096,-31.110943,-26.397207
11896097,17.996195,-14.9156275
11896101,34.66674,6.6480966
11896107,15.880167,-55.03079
11896109,-41.39414,-23.642849
11896111,55.756145,-31.933052
11896112,-55.698635,-28.491064
11896119,-39.37098,-36.792442
11896622,16.256104,44.876842
11896624,5.962695,49.132458
11899114,52.608974,26.733345
11899362,-47.557446,-31.717293
11900499,13.753609,-44.06346
11901001,61.996952,1.7407964
11901151,-29.870178,32.29073
11901478,1.2603711,-23.722445
11901538,-9.028067,-29.944622
11901913,15.248727,-26.689108
11903469,0.57884496,-55.158
11904316,47.1931,32.338474
11907462,6.5571017,-28.930716
11907463,-21.410885,-7.1551337
11907465,-18.47644,-2.1936777
11908714,-3.7958298,-49.93194
11909978,-44.429684,43.373665
11912139,-29.86519,31.855818
11912144,-45.51684,26.691599
11912152,-0.629361,52.30967
11912162,-23.905779,26.7725
11912165,-25.260633,28.081905
11912386,17.875128,13.214423
11914621,49.112305,8.139756
11914627,-45.93964,10.238688
11914909,-42.509506,-23.063526
11916486,-36.080017,11.022082
11917287,2.1326776,-28.977425
11918080,-27.915167,30.31963
11918881,19.483654,-19.265818
11919237,-44.373646,-31.905312
11920455,35.10282,18.504774
11920466,-25.689253,-13.548838
11920502,-21.210077,-25.972925
11920509,-10.807967,0.17585002
11920510,-6.7766085,-5.57816
11920518,-35.079628,17.145067
11920650,23.961565,39.631916
11920733,-8.247319,36.154144
11920777,28.74484,19.067001
11920786,58.442398,8.819398
11921013,0.031885386,-32.039616
11921272,-21.90978,-45.11565
11921273,-21.91932,-45.135635
11923128,17.821974,-1.3282619
11923129,27.75933,16.516739
11923132,28.407167,7.5491686
11924911,-21.978691,8.292107
11924912,-23.121826,-33.991035
11925131,-17.994122,6.4897304
11926890,5.2570953,40.146385
11926891,4.532208,32.970432
11927614,-37.659237,12.07591
11927966,40.515903,8.299298
11928795,9.977505,-23.056335
11929326,-12.962476,-16.9627
11929341,-13.62203,-16.949646
11929790,-9.591144,9.845912
11929949,55.24582,-10.383217
