pmid,tsne1,tsne2
12200376,-37.873234,6.0699315
12201492,-9.225969,47.109615
12201495,-4.60924,34.070133
12201498,-3.389356,42.271404
12201643,-3.5524645,-20.88124
12202663,39.867073,24.918621
12202666,34.306362,3.3559601
12202668,8.208261,23.155106
12202783,-8.055283,11.397054
12202975,47.07242,-18.064718
12203062,9.019591,-13.295436
12203099,-11.457343,48.87933
12203106,-27.746986,6.837632
12203791,-5.739116,-40.791565
12203792,-19.774101,-38.631004
12204061,12.555252,-20.188982
12204532,-46.32367,-1.9328592
12204533,-27.339657,-18.518951
12206602,33.157722,-22.91865
12208747,1.347248,-34.10252
12208756,-14.608981,3.263916
12208847,-47.21592,4.7774224
12208864,-32.60686,-38.314575
12208894,24.92942,-39.56421
12209598,8.088936,-18.632143
12209664,31.228745,-21.928
12209670,0.3393248,20.410074
12209675,5.5238686,3.324859
12209680,30.322735,-26.35659
12209686,7.0773783,36.81433
12209692,-42.93021,20.523682
12209697,-10.233358,28.720335
12209699,19.18354,3.535839
12209705,-31.495518,-8.738097
12209710,13.468337,29.370487
12209712,32.0088,-27.658575
12209714,16.8753,-18.052074
12209730,15.420867,2.6266596
12209733,-12.350426,25.251074
12209743,33.931232,23.658642
12209751,-27.60204,35.661472
12209992,-34.415005,-5.602248
12210018,28.428915,-0.77009916
12210031,25.384512,-0.5386052
12210482,-34.5212,-3.5227807
12210486,7.521192,35.225807
12210929,0.46661177,-3.6493251
12213576,-36.359676,-30.143936
12214287,-45.85977,22.541004
12214291,-25.52295,35.700314
12214292,-33.67484,9.729345
12215091,-0.7912276,19.736866
12215248,48.22679,-0.7865361
12216083,45.237434,0.264704
12216106,8.898074,-7.4185205
12218163,-29.755281,3.9914389
12218588,31.587551,4.8169317
12219004,-22.12847,-34.112293
12219781,-25.875032,16.53456
12223436,21.060093,-42.687534
12226014,-34.48461,26.045044
12226754,-38.464653,-25.467398
12228197,-11.065547,43.217033
12228201,-12.052973,7.1399827
12228203,-4.511364,32.6419
12228208,-29.55272,25.999609
12228209,-21.10949,30.000406
12231058,-2.964842,-5.3837314
12231068,-14.023699,-7.564281
12231521,-29.282673,26.728508
12231522,3.9057145,27.703087
12231542,-31.996145,-17.480434
12231544,-44.8498,-1.6249985
12231545,-18.122192,-9.073653
12231547,-31.320536,-13.137823
12233924,17.17134,-2.4035678
12234168,-37.775307,36.456448
12234279,-38.674755,33.91311
12234701,6.817872,36.213856
12234976,-33.04276,0.9383883
12234991,-15.841982,6.3475065
12234993,-26.380243,-13.945173
12235008,-28.918068,-22.829939
12235222,45.50586,3.1443655
12237282,14.267113,-45.08933
12237916,11.2462,43.68878
12237919,53.22224,25.726616
12237922,10.792742,13.097427
12237926,26.749008,-23.368399
12237927,-28.348164,-16.169893
12239148,-43.176334,17.463022
12241110,-11.488842,14.717363
12242449,-33.59444,2.9460118
12242694,-34.930588,-26.065887
12242723,-31.293356,-8.467916
12243551,-15.441257,17.030964
12243810,11.205966,38.62328
12243812,26.951365,-1.4759687
12243982,-35.992702,27.575897
12269263,10.361282,3.8265243
12269451,-33.059967,19.659859
12269772,-41.9901,-36.73677
12296515,-10.654713,-37.760216
12324633,8.5060005,8.454646
12325038,-16.21443,-41.91509
12349881,48.016537,-4.001007
